col_weight,r,RMSE
0.47000000000000025,30,0.8777203757058952
0.48000000000000026,5,0.8779464367534993
0.48000000000000026,6,0.8771700856583827
0.48000000000000026,7,0.8760983189248048
0.48000000000000026,8,0.8738179427845848
0.48000000000000026,9,0.8724304063910396
0.48000000000000026,10,0.8751787165975187
0.48000000000000026,11,0.8757311928964033
0.48000000000000026,12,0.8752036775637563
0.48000000000000026,13,0.8748677445725955
0.48000000000000026,14,0.8756566529319576
0.48000000000000026,15,0.875877999446838
0.48000000000000026,20,0.877946762110117
0.48000000000000026,25,0.8787318150218112
0.48000000000000026,30,0.8787989688691863
0.49000000000000027,5,0.8785771843910481
0.49000000000000027,6,0.8778199423184162
0.49000000000000027,7,0.8759255460953534
0.49000000000000027,8,0.8744517642593341
0.49000000000000027,9,0.8731459236771802
0.49000000000000027,10,0.8754743383138495
0.49000000000000027,11,0.8759329086168416
0.49000000000000027,12,0.8762573267555258
0.49000000000000027,13,0.8754552796187322
0.49000000000000027,14,0.8759769442578833
0.49000000000000027,15,0.8756466556540635
0.49000000000000027,20,0.8776276047589326
0.49000000000000027,25,0.8784209928102776
0.49000000000000027,30,0.879664902757873
0.5000000000000002,5,0.8792365852147803
0.5000000000000002,6,0.8784925833820312
0.5000000000000002,7,0.8765755232536392
0.5000000000000002,8,0.8751635622749134
0.5000000000000002,9,0.873519054554164
0.5000000000000002,10,0.8754710588275997
0.5000000000000002,11,0.8766718321739965
0.5000000000000002,12,0.876482918692106
0.5000000000000002,13,0.8762943654947228
0.5000000000000002,14,0.8766065681649218
0.5000000000000002,15,0.8768982807224698
0.5000000000000002,20,0.8778590664843783
0.5000000000000002,25,0.8797849093873816
0.5000000000000002,30,0.879326148530485
0.5100000000000002,5,0.879923447235346
0.5100000000000002,6,0.8791919294544297
0.5100000000000002,7,0.8779614092499806
0.5100000000000002,8,0.8758827402037836
0.5100000000000002,9,0.8739335374942073
0.5100000000000002,10,0.8767235431308188
0.5100000000000002,11,0.876380347252709
0.5100000000000002,12,0.8767099502089281
0.5100000000000002,13,0.8758654508660395
0.5100000000000002,14,0.8769235043041533
0.5100000000000002,15,0.8763907210992585
0.5100000000000002,20,0.879177872556898
0.5100000000000002,25,0.8793618388439761
0.5100000000000002,30,0.878813721424034
0.5200000000000002,5,0.8806358196887573
0.5200000000000002,6,0.8799149141149512
0.5200000000000002,7,0.8780129831862512
0.5200000000000002,8,0.8766626822295243
0.5200000000000002,9,0.8747624256047359
