r,rmse_0,rmse_global_mean,rmse_row_means,rmse_means_weighted
60,3.162259936628198,0.9961540986629359,0.914053017376503,0.8785776372156969
61,3.1691937928317437,0.9988914141733026,0.9143575349817242,0.8781041614660672
62,3.177251572484823,0.9969550330734367,0.9141875014931965,0.8767223607065726
63,3.1793314306054667,0.9960092115906741,0.9152657070223372,0.8784083622703555
64,3.190238211131442,0.9978220775823291,0.9162521552084881,0.8805435707879007
65,3.1875948781340395,0.9970894126842819,0.9155469143358775,0.8799612717358982
66,3.182095516815475,0.9985737722096729,0.9144524667218519,0.8772898964050482
67,3.1940807214821825,1.000438863460018,0.9130947642060031,0.8778892375650311
68,3.190094308589978,0.9993319294380046,0.9164741756986621,0.8802824882110828
69,3.1878729895689935,0.998420107672967,0.9156638099286091,0.8802912850479729
70,3.2022962368443584,0.9984347369250242,0.9153972038525074,0.8788548762138662
71,3.205564342587128,1.0002404613709517,0.9150257170523745,0.8789023777699781
72,3.20672857738366,1.00107094702871,0.9165644972504177,0.8799474151208436
73,3.2143493299344135,1.000871852950964,0.9162809615505603,0.8804225868330487
74,3.217094653624889,1.002245914851888,0.9158221186002575,0.8780323574084641
75,3.216470012912977,1.0037866694839785,0.9169901487363143,0.8794044597629196
76,3.22048480464754,1.002158450912018,0.9171398514506729,0.8805400171038194
77,3.232156300149378,1.0031073685787797,0.917766283738916,0.8804498297537469
78,3.232775483582004,1.002691890185613,0.9169286085933197,0.87945159885267
79,3.240773136295049,1.0047757107416422,0.9187643202283764,0.879238075301742
80,3.239648001138867,1.0040939364726742,0.9179253735350844,0.8785480915848987
81,3.242995289497607,1.0050842482287736,0.9188905796814467,0.8805711836775775
82,3.2459214359262902,1.0054678405767363,0.9175866605679881,0.8809308395966263
83,3.2613930700223013,1.005263659530121,0.917627862633314,0.8800961956339433
84,3.2537277776340745,1.0048932957713776,0.9181126305097149,0.879970239559684
85,3.255238154700218,1.0054084733092907,0.9196015396766604,0.8809242222106143
86,3.2575648740975414,1.0062042912543157,0.9176068913276328,0.881417675190728
87,3.2657025780796265,1.0050616016209246,0.9185039710589847,0.881172034201468
88,3.2689251875446454,1.007686775737864,0.9191426418995925,0.8815715614800174
89,3.2676958339013558,1.0065916668866721,0.9192429098845105,0.880911562068097
90,3.2745743969810683,1.0095117082292797,0.9187340354001391,0.8801276573417557
91,3.283666069943989,1.007835928707101,0.9201201706523495,0.8804675006982152
92,3.2824643930282416,1.0091201692210578,0.9191149215422735,0.8817452381779166
93,3.282751790151442,1.0100681528003637,0.9195134265119747,0.8805508479278908
94,3.28245382071961,1.0089088743560608,0.9202894108878957,0.8811181224890116
95,3.2862915925713216,1.0104440244425734,0.9198146668229423,0.8808776340369877
96,3.289112119529289,1.0100465220571102,0.921511061961341,0.8818652898276558
97,3.2886728310971605,1.010427817646571,0.9209495033383367,0.8826037146440247
98,3.2932613566238063,1.0114003188668075,0.9196713339378819,0.8830605662222749
99,3.2936896005054046,1.0115383451099362,0.9204188726155607,0.8824952177445495
100,3.300468314424419,1.0126350908031625,0.9217208820206126,0.8809636820994311
101,3.301941678201253,1.0126518461952199,0.9205513729677895,0.8828072644366302
102,3.304460528540716,1.0142385129702312,0.9213938871190355,0.8841823784288839
103,3.3026290996939585,1.0137277767046253,0.9208024855532373,0.8817277637768742
104,3.3059602054420907,1.0148194545744413,0.9224979506547064,0.8827032549980872
105,3.308363990642786,1.0138921527389229,0.9224035766512689,0.8825242623617819
106,3.30620109206537,1.0141145722567397,0.9224224322089305,0.8812618077788504
