index,lambda,eta,r,RMSE
243,0.009000000000000001,0.012,2.0,0.963604272853921
244,0.009000000000000001,0.02,2.0,0.9676354222867118
245,0.010000000000000002,0.008,2.0,0.9852392244512601
246,0.010000000000000002,0.009,2.0,0.9457328108798388
247,0.010000000000000002,0.0099,2.0,0.9985439767979769
248,0.010000000000000002,0.01,2.0,0.9761972488031625
249,0.010000000000000002,0.011,2.0,0.9926035128985576
250,0.010000000000000002,0.012,2.0,0.9995298105731328
251,0.010000000000000002,0.02,2.0,0.9490056866266442
252,0.011,0.008,2.0,0.9475853184702462
253,0.011,0.009,2.0,0.942390987472919
254,0.011,0.0099,2.0,0.9364837145927356
255,0.011,0.01,2.0,0.981162737162635
256,0.011,0.011,2.0,0.9381016531701161
257,0.011,0.012,2.0,0.9568098321856383
258,0.011,0.02,2.0,0.9453302781258001
259,0.012,0.008,2.0,0.952057499919968
260,0.012,0.009,2.0,0.9567524868947239
261,0.012,0.0099,2.0,0.965829905730315
262,0.012,0.01,2.0,0.9738437615778917
263,0.012,0.011,2.0,0.9806024258529387
264,0.012,0.012,2.0,0.9675642619504233
265,0.012,0.02,2.0,0.9565349020487482
266,0.013000000000000001,0.008,2.0,0.9892795376787322
267,0.013000000000000001,0.009,2.0,0.9404556596417922
268,0.013000000000000001,0.0099,2.0,0.953027589671283
269,0.013000000000000001,0.01,2.0,1.0220058586290501
270,0.013000000000000001,0.011,2.0,0.9539981125162663
271,0.013000000000000001,0.012,2.0,0.9767865466431703
272,0.013000000000000001,0.02,2.0,0.9500497976250307
273,0.014000000000000002,0.008,2.0,0.9403218154967353
274,0.014000000000000002,0.009,2.0,0.9391099324440294
275,0.014000000000000002,0.0099,2.0,0.9766759466490957
276,0.014000000000000002,0.01,2.0,0.9395957003803004
277,0.014000000000000002,0.011,2.0,0.9352729823714607
278,0.014000000000000002,0.012,2.0,0.9724257006218917
279,0.014000000000000002,0.02,2.0,0.9427036822209757
280,0.015,0.008,2.0,1.0469086590530685
281,0.015,0.009,2.0,0.9387496099983114
282,0.015,0.0099,2.0,0.9811664578451439
283,0.015,0.01,2.0,0.9457021295258463
284,0.015,0.011,2.0,0.9928374051808606
285,0.015,0.012,2.0,0.9375392111002375
286,0.015,0.02,2.0,0.956952992280575
287,0.016,0.008,2.0,0.9740015105758502
288,0.016,0.009,2.0,0.962856609753661
289,0.016,0.0099,2.0,0.9407861182997378
290,0.016,0.01,2.0,1.0321728679487738
291,0.016,0.011,2.0,0.9380974460683223
292,0.016,0.012,2.0,0.9366964404687268
293,0.016,0.02,2.0,0.9466980783667766
294,0.017,0.008,2.0,0.9519349345646878
295,0.017,0.009,2.0,0.9736463218144493
296,0.017,0.0099,2.0,0.9419571850004708
297,0.017,0.01,2.0,0.9593561135205569
298,0.017,0.011,2.0,0.951260762211726
299,0.017,0.012,2.0,1.0458094946379177
300,0.017,0.02,2.0,0.9530235168555131
301,0.018000000000000002,0.008,2.0,1.0279097601431046
302,0.018000000000000002,0.009,2.0,1.0035407515011165
303,0.018000000000000002,0.0099,2.0,0.9800685347372086
304,0.018000000000000002,0.01,2.0,0.9412049248745721
305,0.018000000000000002,0.011,2.0,0.9323803535381192
306,0.018000000000000002,0.012,2.0,0.9934453831846836
307,0.018000000000000002,0.02,2.0,1.0253142490647473
308,0.019000000000000003,0.008,2.0,0.9506815752299109
309,0.019000000000000003,0.009,2.0,0.9754830156999401
310,0.019000000000000003,0.0099,2.0,0.9686102825370392
311,0.019000000000000003,0.01,2.0,0.9652684645942534
312,0.019000000000000003,0.011,2.0,0.9436681424598868
313,0.019000000000000003,0.012,2.0,0.9938942833406579
314,0.019000000000000003,0.02,2.0,0.9455791230524921
315,0.02,0.008,2.0,0.9781243285745586
316,0.02,0.009,2.0,0.9974498751600921
317,0.02,0.0099,2.0,1.0405411605151142
318,0.02,0.01,2.0,0.9434041062646862
319,0.02,0.011,2.0,0.9872411237807331
320,0.02,0.012,2.0,0.9381929646362989
321,0.02,0.02,2.0,0.952810754514238
322,0.025,0.008,2.0,0.9862907442827578
323,0.025,0.009,2.0,0.9883900251891382
324,0.025,0.0099,2.0,1.0005300925207639
325,0.025,0.01,2.0,1.0054222468436869
326,0.025,0.011,2.0,0.9738662754765256
327,0.025,0.012,2.0,0.945755516830015
328,0.025,0.02,2.0,0.9462267058706471
329,0.030000000000000002,0.008,2.0,1.0190135749223357
330,0.030000000000000002,0.009,2.0,0.9367260453834452
331,0.030000000000000002,0.0099,2.0,0.9811735601622809
332,0.030000000000000002,0.01,2.0,0.9718910986921727
333,0.030000000000000002,0.011,2.0,0.9633434272282481
334,0.030000000000000002,0.012,2.0,0.9546882592685598
335,0.030000000000000002,0.02,2.0,0.9508607231988782
336,0.035,0.008,2.0,0.9440376399410754
337,0.035,0.009,2.0,0.935694044534397
338,0.035,0.0099,2.0,0.9956117984081987
339,0.035,0.01,2.0,0.9611784050603558
340,0.035,0.011,2.0,0.9423472086976589
341,0.035,0.012,2.0,1.003242727907341
342,0.035,0.02,2.0,0.9664318426682484
343,0.04000000000000001,0.008,2.0,0.9416844870492963
344,0.04000000000000001,0.009,2.0,1.026373596519179
345,0.04000000000000001,0.0099,2.0,0.972579380970616
346,0.04000000000000001,0.01,2.0,0.9404413806078696
347,0.04000000000000001,0.011,2.0,0.9748514266410596
348,0.04000000000000001,0.012,2.0,0.9812035041700218
349,0.04000000000000001,0.02,2.0,0.9593056617167638
350,0.045000000000000005,0.008,2.0,0.960721611731059
351,0.045000000000000005,0.009,2.0,0.9405643380764783
